Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,audio_caption,visual_caption
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",The speaker sounds surprised.,"The image shows a man and woman sitting at a table in a room. The man is holding a piece of paper in his hand and the woman is standing beside him. On the table in front of them are various objects, and to the right of them is a cupboard with toys and other objects on top. In the background, there is a wall with a door and a poster."
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",Angry,"The image shows a man standing in front of a door with his hands outstretched, wearing a shirt. On the left side of the image there is a wall with a calendar and a photo frame, and on the right side there are switches and a board attached to the wall."
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",Angry,"The image shows a man standing in front of a door with his arms outstretched, wearing a shirt. On the left side of the image there is a wall with a photo frame and a calendar, and on the right side there are switches and a door."
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",Neutral,"The image shows a man and woman sitting at a table in a room. The man is holding a piece of paper in his hand and the woman is standing beside him. On the table in front of them are various objects, and to the right of them is a cupboard with toys and other objects on top. In the background, there is a wall with a door and a poster attached to it."
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499","The speaker sounds female, speaking English with a neutral mood.","The image shows two men and a woman standing around a table in a room. On the table there are various objects, and in the background there is a cupboard with books and other items, as well as a poster on the wall."
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",The speaker's voice sounds neutral.,"The image shows a group of three people standing around a table in a room. On the table there are various objects, and in the background there is a cupboard with books and other items, as well as a poster on the wall."
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672",Angry,"The image shows a group of three people standing around a table in a room. On the table there are various objects, and in the background there is a cupboard with books and other items, as well as a poster on the wall."
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137",The speaker sounds happy.,"The image shows a man and woman sitting on top of a couch next to each other. The man is holding a paper in his hand and the woman is looking at him intently. On the right side of the image there is a table with various objects on it, and in the background there are windows with curtains and a poster on the wall."
46,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181",The speaker sounds like a man speaking English.,"The image shows a man sitting on top of a kitchen counter next to a woman. He is holding a box in his hand and there is a table in front of him with various objects on it. To the right of the counter is a stove with a pan on it, and to the left is a chair. In the background, there are cupboards attached to the wall and a curtain."
47,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891","The speaker sounds male, aged between 16-25 years old, speaking in Mandarin with","The image shows a man and woman standing in front of a door, both of them smiling. The man is wearing a suit and the woman is holding something in her hand. There is a plant in the background and lights on the wall."
48,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028","The speaker is male, speaking English with a neutral mood.",Nan
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a man and woman standing in front of a door, talking to each other. The woman is holding a flower in her hand and the man is holding some papers in his hand. There is a plant in the background, a lamp on the wall, and a window."
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185","The speaker sounds male, speaks English, and his mood is neutral.","The image shows a man and woman shaking hands in front of a door, surrounded by a group of people standing on the floor. The woman is holding some papers in her hand, and there is a plant in the background, as well as some lights and a wall."
51,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771","The speaker sounds male, within the age range of 16-25 years old, speaking","The image shows a man and woman standing next to each other in a room, with the woman holding a flower in her hand. In the background there is a plant and a wall, and on the right side of the image there is an object."
52,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873","The speaker is male, singing in English with a neutral mood.",Nan
53,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135",The speaker sounds like a female singing in English with a sad mood.,Nan
54,Howd did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230",The speaker sounds like a man speaking English.,"The image shows a man and woman standing next to each other in front of a window, with the man holding a flower in his hand. In the background, there is a plant and a wall."
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446",The speaker sounds happy.,"The image shows a man and woman standing next to each other in front of a window, both of them smiling. The man is holding a flower in his hand, and there is a plant in the background."
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991",The speaker sounds happy.,"The image shows a man and woman standing next to each other in a room, with the man wearing a suit and the woman wearing a dress. There is a plant to the right of them, a door in the background, and lights illuminating the scene."
57,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543",The speaker sounds fearful.,"The image shows a man and woman standing next to each other in front of a door, both wearing suits. The man is holding a flower in his hand, and there is a plant to the right of them. In the background, there are lights illuminating the scene."
58,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584",The speaker sounds sad.,"The image shows a man and woman standing in front of a door, with the man holding a bag. There is a plant in a pot, a wall, and a light illuminating the scene."
59,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794","The speaker sounds female, around 40 years old, speaking English with a neutral mood.","The image shows a man and woman standing next to each other in a dark room, with a plant in the background and a door on the right side."
60,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380","The speaker sounds male, speaks English, and his mood is neutral.",Nan
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057","The speaker sounds female, between 16-25 years old, speaking in English with a","The image shows a man and woman standing next to each other in a room, with a plant in the background and a door on the right side."
62,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297","The speaker sounds male, singing in English with a neutral mood.","The image shows a man and woman sitting on a couch, with the man playing a guitar and the woman smiling. In the background, there are a few people sitting around a table with a flower vase and other objects on it."
63,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476","The speaker sounds male, speaks English, and his mood is neutral.",Nan
64,Ameri-can. Y'know its a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507","The speaker sounds male, speaks English, and conveys a happy mood.","The image shows Angela Featherstone as Chloe sitting on a sofa with a guitar in her hands, surrounded by a group of people sitting on chairs and a table with various objects on it."
65,Everybody!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679",The speaker sounds like a child.,"The image shows a man and woman sitting on a couch, with the man playing a guitar. In the background, there is a table with a flower vase, cup, and other objects on it, as well as a few other people."
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526",The speaker sounds happy.,"The image shows two men sitting next to each other in front of a crowd of people, all of whom have a human face."
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796",The speaker sounds surprised.,"The image shows two men sitting next to each other in chairs, both wearing suits and smiling. In the background, there are a few people standing."
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501",The speaker sounds happy.,"The image shows two men sitting next to each other in front of a crowd, both wearing suits. One of the men has a human face, while the other has a more serious expression."
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657",The speaker sounds like a man speaking English.,"The image shows two men sitting in chairs talking to each other, surrounded by a group of people standing in the background."
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243",The speaker sounds happy.,"The image shows two men sitting next to each other in a movie theater, both wearing suits and smiling. Behind them, there are a few other people sitting in chairs, and in the background there is a wall."
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746",The speaker sounds angry.,"The image shows a group of people standing around each other in a room, with a man in the center wearing a suit. There are chairs scattered around the room, and a wall in the background."
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000",The speaker sounds happy.,"The image shows a man in a suit talking to another man at a party, surrounded by a group of people standing in front of a wall with a window in the background."
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",The speaker sounds happy.,The image shows a man in a suit talking to another man in front of a wall with a frame attached to it. The man in the suit has a human face and is standing in the center of the group.
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",The speaker sounds surprised.,"The image shows two men standing next to each other in a room, both wearing suits. In the background, there are a number of people, a window, and a wall."
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",Angry,"The image shows two men in suits standing next to each other in a room with a wall and a window in the background. There are a few other people in the room, and one of the men has a human face."
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",Angry,"The image shows two men standing next to each other in a room, with a frame on the wall and a window in the background. One of the men has a human face, while the other has a more serious expression."
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",Angry,"The image shows two men standing next to each other in a room, with a wall and window in the background. One of the men is wearing a suit, while the other is not."
78,Thats for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",The speaker sounds happy.,"The image shows two men standing next to each other in a room, with a few other people in the background and a frame attached to the wall. Both men have a human face, with one of them looking directly at the other."
79,Ill see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",The speaker's voice sounds neutral.,"The image shows two men in suits standing next to each other in a room with chairs, a table, a wall, and a light."
80,Dont go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804","The speaker sounds English, male and is singing.",Nan
81,Im sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",The speaker sounds sincere.,"The image shows a man in a suit and tie standing in front of a crowd of people, with a person sitting on a chair to his left and a few empty chairs to his right. In the background, there is a wall."
82,Im so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",The speaker sounds sincere.,"The image shows a man in a suit and tie standing on a stage in front of a crowd of people sitting in chairs. He is wearing a black blazer, white shirt, and black tie, and there is a podium in the background."
83,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",The speaker sounds angry.,Nan
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",The speaker sounds angry.,The image shows a man in a suit and tie standing next to another man sitting in a chair in front of a wall with a light on the left side. Both men have a human face and are wearing suits.
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",The speaker sounds angry.,The image shows a man in a suit and tie standing next to another man sitting in a chair in front of a wall with a light on the left side. Both men have a human face and are wearing suits.
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",The speaker sounds angry.,The image shows a man in a suit and tie standing next to another man sitting in a chair in front of a wall with a light on the left side. Both men have a human face and are wearing suits.
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",The speaker sounds angry.,The image shows a man in a suit sitting on a chair in front of a wall with a few other chairs in the background.
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",The speaker sounds surprised.,"The image shows two men standing next to each other in a room, with a door, wall, lights, cupboard, and other objects in the background."
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",The speaker sounds angry.,"The image shows two men standing next to each other in a room, with a wall in the background, a photo frame on the right side, and various objects scattered around."
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",The speaker sounds sad.,"The image shows two men and a woman standing next to each other in a room, with a wall adorned with photo frames in the background."
91,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204","The speaker's voice sounds like a female speaking English, with a neutral mood.","The image shows two men and a woman standing next to each other in a room, with a wall adorned with photo frames in the background."
92,"Okay, thats enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",The speaker sounds happy.,"The image shows a man and woman standing next to each other in a room, with a wall adorned with photo frames in the background."
93,I dont know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964","The speaker sounds male, aged between 16-25 years old, speaking English with a","The image shows a man in a suit talking to another man at a table surrounded by a group of people sitting on chairs around it. On the table there are plates of food, glasses, bottles, and other objects. In the background, there are photo frames on the wall and lights illuminating the scene."
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964","The speaker sounds English, male and the speech conveys a neutral mood.","The image shows a man in a suit talking to another man at a table surrounded by chairs and tables with glasses, bottles, and other items on them. In the background, there are photo frames on the wall and lights illuminating the scene."
95,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934","The speaker sounds male, surprised, with a neutral mood.","The image shows a man in a suit and tie standing in front of a group of people sitting around a table with plates of food, glasses, bottles, and other objects on it. In the background, there are frames attached to the wall and lights illuminating the scene."
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074","The speaker sounds male, speaks English, and conveys a neutral mood.",Nan
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738","The speaker sounds male, aged between 16-25 years old, speaking in English with","The image shows two men standing in a kitchen next to each other. On the right side of the image there is a table and chairs, and on the left side there are stools. In the background there are cupboards, a refrigerator, a stove, a microwave oven, a sink, a tap, a bottle, a telephone, and other objects on the kitchen platform. There is also a frame attached to the wall."
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",The speaker sounds like they are in a happy mood.,"The image shows a man standing in a kitchen next to a table with a gas stove, microwave oven, bottle, and other objects on it. There are also stools, a chair, a door, a frame on the wall, and cupboards with various objects inside."
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",The speaker sounds like a female in her thirties speaking English.,"The image shows two men standing in a kitchen, talking to each other. One of the men is holding a bottle in his hand, while the other is holding an object. On the right side of the image, there is a stove with a bottle on it, and on the left side, there are bottles and other objects on the countertop. In the background, we can see a frame on the wall, cupboards, and a refrigerator."
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",The speaker is male.,"The image shows two men standing next to each other in a room, with one of them holding a mobile phone in his hand. In the background there is a wall, a door, and a plant, and in the middle of the image there is some edited text."
101,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",The speaker sounds neutral.,"The image shows two men standing in a kitchen talking to each other. On the right side of the image there is a sink with a tap, and on the left side there is another table with various objects on it. In the background there are cupboards and a wall."
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",The speaker sounds like a man.,"The image shows two men standing side by side, one of them holding a walkie talkie in his hand. In the background there is a door and a wall, and in the middle of the image there is some edited text that reads ""Producer Betsy Borns""."
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",The speaker sounds surprised.,"The image shows a man holding a walkie talkie in his hand, with another person to his right and a door and wall in the background. There is also a watermark on the image, indicating that it is from the movie 'Betsy Born'."
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",The speaker sounds happy.,"The image shows two men standing next to each other, one of them holding a cell phone in his hand. In the background there is a door and a wall, and on the right side of the image there is another person."
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",The speaker sounds happy.,"The image shows two men standing next to each other in a room, with one of them holding an object in his hand. In the background there is a wall and a door, and at the bottom of the image there is an object."
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",The speaker sounds happy.,"The image shows two men standing next to each other in a room, with one of them holding an object in his hand. In the background, there is a wall with a photo frame and a door, and to the left side of the image there is an object on the wall."
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",The speaker sounds angry.,"The image shows two men standing in a living room next to each other, surrounded by furniture such as a sofa, chair, bag, dumbbells, and other objects. In the background, there are windows with curtains, a door, a wall, a bathtub, and a light. Written by Chris Brown is the title of the image."
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",Male,"The image shows two men standing next to each other in a room, with a cupboard to the right side of the image containing various objects. In the background, there is a wall with a frame attached to it."
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",The speaker sounds disgusted.,"The image shows two men standing next to each other in a room, with one of them holding an object in his hand. In the background, there is a sofa, a door, and a wall."
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",The speaker sounds like a male in a neutral mood speaking English.,"The image shows two men standing next to each other in a kitchen. On the right side of the image there is a table with various objects on it, and in the background there are frames attached to the wall."
111,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",Angry,"The image shows a man sitting on a couch in a living room. He is holding a book in his hands and there are pillows on the couch. On the right side of the image there is a table with a flower vase, candle and other objects. In the background there are chairs, a table, a refrigerator, a window, a lamp, frames attached to the wall and a few other objects on the shelves."
